Dataset,Scenario,Method,CBDir
bilinear,bilinear,STEER,0.506281276480789
bilinear,bilinear,TOPOVELO,0.2032835572055111
bilinear,bilinear,SPVELO,-0.1915804820138571
bilinear,bilinear,STT,0.3530147403015153
bilinear_seed52,bilinear,STEER,0.4669809597879018
bilinear_seed52,bilinear,TOPOVELO,0.1706731746243848
bilinear_seed52,bilinear,SPVELO,-0.1939668781160889
bilinear_seed52,bilinear,STT,0.3615824163091705
bilinear_seed62,bilinear,STEER,0.407204550130698
bilinear_seed62,bilinear,TOPOVELO,0.2143126473426062
bilinear_seed62,bilinear,SPVELO,-0.0114086542107879
bilinear_seed62,bilinear,STT,0.2699006887355595
bilinear_seed72,bilinear,STEER,0.4811907955683414
bilinear_seed72,bilinear,TOPOVELO,0.3285879600646068
bilinear_seed72,bilinear,SPVELO,-0.2897554878632302
bilinear_seed72,bilinear,STT,0.2578177118569175
bilinear_seed82,bilinear,STEER,0.468486388044606
bilinear_seed82,bilinear,TOPOVELO,0.2289513384585099
bilinear_seed82,bilinear,SPVELO,-0.2594434870442201
bilinear_seed82,bilinear,STT,0.3497115887633747
multiradial,multiradial,STEER,0.3940108269332435
multiradial,multiradial,TOPOVELO,0.1662316573337694
multiradial,multiradial,SPVELO,0.0508461372481196
multiradial,multiradial,STT,0.2584329476583057
multiradial_seed52,multiradial,STEER,0.4082112267817912
multiradial_seed52,multiradial,TOPOVELO,0.1711010916384613
multiradial_seed52,multiradial,SPVELO,-0.0227363104467108
multiradial_seed52,multiradial,STT,0.2350410752815684
multiradial_seed62,multiradial,STEER,0.3923703646216741
multiradial_seed62,multiradial,TOPOVELO,-0.0120320888302437
multiradial_seed62,multiradial,SPVELO,0.0083499619666112
multiradial_seed62,multiradial,STT,0.2500959716962476
multiradial_seed72,multiradial,STEER,0.404457510359041
multiradial_seed72,multiradial,TOPOVELO,-0.1918115359546607
multiradial_seed72,multiradial,SPVELO,-0.0162603134811396
multiradial_seed72,multiradial,STT,0.2361733590928068
multiradial_seed82,multiradial,STEER,0.414405487947348
multiradial_seed82,multiradial,TOPOVELO,-0.1244436522614667
multiradial_seed82,multiradial,SPVELO,-0.0631614372967182
multiradial_seed82,multiradial,STT,0.2446668566670747
