Dataset,Scenario,Method,2D Velocity Accuracy,Time Correlation
bilinear,bilinear,STEER,0.6288708545667125,0.5996848324905495
bilinear,bilinear,TOPOVELO,0.2691457070186686,0.6011262074607582
bilinear,bilinear,SPVELO,-0.2842916776365011,0.4156323371954708
bilinear,bilinear,STT,0.437954220738147,0.0540661255652959
bilinear_seed52,bilinear,STEER,0.6003663479371827,0.361732573001588
bilinear_seed52,bilinear,TOPOVELO,0.2304178714964539,0.5974882042835901
bilinear_seed52,bilinear,SPVELO,-0.2768548448725855,0.3927807999003182
bilinear_seed52,bilinear,STT,0.4715392810989243,0.0414017359764477
bilinear_seed62,bilinear,STEER,0.5455875923139455,0.512575714326815
bilinear_seed62,bilinear,TOPOVELO,0.3078223713349622,0.5806649814123559
bilinear_seed62,bilinear,SPVELO,-0.0393328828954902,0.3859353567295658
bilinear_seed62,bilinear,STT,0.3810604428176035,0.017891768122614
bilinear_seed72,bilinear,STEER,0.6364865776073694,0.5431275769985141
bilinear_seed72,bilinear,TOPOVELO,0.4691400053389202,0.5606414865533971
bilinear_seed72,bilinear,SPVELO,-0.4029779438955059,0.4141695782254552
bilinear_seed72,bilinear,STT,0.3643296860739397,0.0068181383112304
bilinear_seed82,bilinear,STEER,0.5976630128842448,0.4454866192153568
bilinear_seed82,bilinear,TOPOVELO,0.3106780991748588,0.6294724956882065
bilinear_seed82,bilinear,SPVELO,-0.3322746487669426,0.3649863934116504
bilinear_seed82,bilinear,STT,0.4477461759378136,0.0122528240676258
multiradial,multiradial,STEER,0.4422351717446172,0.7734480956486967
multiradial,multiradial,TOPOVELO,0.1960420353448098,0.7221653002576411
multiradial,multiradial,SPVELO,0.0538551408476307,0.4612811197248413
multiradial,multiradial,STT,0.2883555169644768,0.0714727919205758
multiradial_seed52,multiradial,STEER,0.4790483040090275,0.7519308067311301
multiradial_seed52,multiradial,TOPOVELO,0.2003097187605446,0.9065813926999996
multiradial_seed52,multiradial,SPVELO,-0.0322882449958894,0.4247233763220286
multiradial_seed52,multiradial,STT,0.2641017505568799,0.1505928308376717
multiradial_seed62,multiradial,STEER,0.4492739218760033,0.635586397452165
multiradial_seed62,multiradial,TOPOVELO,-0.0226363606589237,0.0787700986686207
multiradial_seed62,multiradial,SPVELO,0.0096071382247772,0.4027908975470858
multiradial_seed62,multiradial,STT,0.2781029160142297,0.1076085658272005
multiradial_seed72,multiradial,STEER,0.4926627065579103,0.7695445759441097
multiradial_seed72,multiradial,TOPOVELO,-0.2265208657441902,0.3401600916614476
multiradial_seed72,multiradial,SPVELO,-0.0146339280923375,0.3829379571493845
multiradial_seed72,multiradial,STT,0.2761358891012676,0.0737812829351873
multiradial_seed82,multiradial,STEER,0.4755806422672566,0.7321919488892035
multiradial_seed82,multiradial,TOPOVELO,-0.1416700080970745,0.4679705354359407
multiradial_seed82,multiradial,SPVELO,-0.0835787746679307,0.4018160740759191
multiradial_seed82,multiradial,STT,0.2634700578596699,0.1550224906866334
